1Chr.6.36	1Chr.6.21
1Chr.6.37	1Chr.6.22
1Chr.6.38	1Chr.6.23
1Chr.6.39	1Chr.6.24
1Chr.6.40	1Chr.6.25
1Chr.6.41	1Chr.6.26
1Chr.6.42	1Chr.6.27
1Chr.6.43	1Chr.6.28
1Chr.6.44	1Chr.6.29
1Chr.6.45	1Chr.6.30
1Chr.6.46	1Chr.6.31
1Chr.6.47	1Chr.6.32
1Chr.6.48	1Chr.6.33
1Chr.6.49	1Chr.6.34
1Chr.6.50	1Chr.6.35
1Chr.6.51	1Chr.6.36
1Chr.6.52	1Chr.6.37
1Chr.6.53	1Chr.6.38
1Chr.6.54	1Chr.6.39
1Chr.6.55	1Chr.6.40
1Chr.6.56	1Chr.6.41
1Chr.6.57	1Chr.6.42
1Chr.6.58	1Chr.6.43
1Chr.6.59	1Chr.6.44
1Chr.6.60	1Chr.6.45
1Chr.6.61	1Chr.6.46
1Chr.6.62	1Chr.6.47
1Chr.6.63	1Chr.6.48
1Chr.6.64	1Chr.6.49
1Chr.6.65	1Chr.6.50
1Chr.6.66	1Chr.6.51
1Chr.6.67	1Chr.6.52
1Chr.6.68	1Chr.6.53
1Chr.6.69	1Chr.6.54
1Chr.6.70	1Chr.6.55
1Chr.6.71	1Chr.6.56
1Chr.6.72	1Chr.6.57
1Chr.6.73	1Chr.6.58
1Chr.6.74	1Chr.6.59
1Chr.6.75	1Chr.6.60
1Chr.6.76	1Chr.6.61
1Chr.6.77	1Chr.6.62
1Chr.6.78	1Chr.6.63
1Chr.6.79	1Chr.6.64
1Chr.6.80	1Chr.6.65
1Chr.6.81	1Chr.6.66
1Chr.12.4	1Chr.12.4-1Chr.12.5
1Chr.12.5	1Chr.12.6
1Chr.12.6	1Chr.12.7
1Chr.12.7	1Chr.12.8
1Chr.12.8	1Chr.12.9
1Chr.12.9	1Chr.12.10
1Chr.12.10	1Chr.12.11
1Chr.12.11	1Chr.12.12
1Chr.12.12	1Chr.12.13
1Chr.12.13	1Chr.12.14
1Chr.12.14	1Chr.12.15
1Chr.12.15	1Chr.12.16
1Chr.12.16	1Chr.12.17
1Chr.12.17	1Chr.12.18
1Chr.12.18	1Chr.12.19
1Chr.12.19	1Chr.12.20
1Chr.12.20	1Chr.12.21
1Chr.12.21	1Chr.12.22
1Chr.12.22	1Chr.12.23
1Chr.12.23	1Chr.12.24
1Chr.12.24	1Chr.12.25
1Chr.12.25	1Chr.12.26
1Chr.12.26	1Chr.12.27
1Chr.12.27	1Chr.12.28
1Chr.12.28	1Chr.12.29
1Chr.12.29	1Chr.12.30
1Chr.12.30	1Chr.12.31
1Chr.12.31	1Chr.12.32
1Chr.12.32	1Chr.12.33
1Chr.12.33	1Chr.12.34
1Chr.12.34	1Chr.12.35
1Chr.12.35	1Chr.12.36
1Chr.12.36	1Chr.12.37
1Chr.12.37	1Chr.12.38
1Chr.12.38	1Chr.12.39
1Chr.12.39	1Chr.12.40
1Chr.12.40	1Chr.12.41
2Chr.2.1	2Chr.1.18
2Chr.2.2	2Chr.2.1
2Chr.2.3	2Chr.2.2
2Chr.2.4	2Chr.2.3
2Chr.2.5	2Chr.2.4
2Chr.2.6	2Chr.2.5
2Chr.2.7	2Chr.2.6
2Chr.2.8	2Chr.2.7
2Chr.2.9	2Chr.2.8
2Chr.2.10	2Chr.2.9
2Chr.2.11	2Chr.2.10
2Chr.2.12	2Chr.2.11
2Chr.2.13	2Chr.2.12
2Chr.2.14	2Chr.2.13
2Chr.2.15	2Chr.2.14
2Chr.2.16	2Chr.2.15
2Chr.2.17	2Chr.2.16
2Chr.2.18	2Chr.2.17
2Chr.14.1	2Chr.13.23
2Chr.14.2	2Chr.14.1
2Chr.14.3	2Chr.14.2
2Chr.14.4	2Chr.14.3
2Chr.14.5	2Chr.14.4
2Chr.14.6	2Chr.14.5
2Chr.14.7	2Chr.14.6
2Chr.14.8	2Chr.14.7
2Chr.14.9	2Chr.14.8
2Chr.14.10	2Chr.14.9
2Chr.14.11	2Chr.14.10
2Chr.14.12	2Chr.14.11
2Chr.14.13	2Chr.14.12
2Chr.14.14	2Chr.14.13
2Chr.14.15	2Chr.14.14
Ezra.1	2Esd.1
Ezra.2	2Esd.2
Ezra.3	2Esd.3
Ezra.4	2Esd.4
Ezra.5	2Esd.5
Ezra.6	2Esd.6
Ezra.7	2Esd.7
Ezra.8	2Esd.8
Ezra.9	2Esd.9
Ezra.10	2Esd.10
Neh.1	2Esd.11
Neh.2	2Esd.12
Neh.3	2Esd.13
Neh.3.33	2Esd.14.1
Neh.3.34	2Esd.14.2
Neh.3.35	2Esd.14.3
Neh.3.36	2Esd.14.4
Neh.3.37	2Esd.14.5
Neh.3.38	2Esd.14.6
Neh.4.1	2Esd.14.7
Neh.4.2	2Esd.14.8
Neh.4.3	2Esd.14.9
Neh.4.4	2Esd.14.10
Neh.4.5	2Esd.14.11
Neh.4.6	2Esd.14.12
Neh.4.7	2Esd.14.13
Neh.4.8	2Esd.14.14
Neh.4.9	2Esd.14.15
Neh.4.10	2Esd.14.16
Neh.4.11	2Esd.14.17
Neh.4.12	2Esd.14.18
Neh.4.13	2Esd.14.19
Neh.4.14	2Esd.14.20
Neh.4.15	2Esd.14.21
Neh.4.16	2Esd.14.22
Neh.4.17	2Esd.14.23
Neh.5	2Esd.15
Neh.6	2Esd.16
Neh.7	2Esd.17
Neh.7.67	2Esd.17.67-2Esd.17.68
Neh.7.68	2Esd.17.69-2Esd.17.70
Neh.7.70	2Esd.17.71
Neh.7.71	2Esd.17.72
Neh.7.72	2Esd.17.73
Neh.8	2Esd.18
Neh.9	2Esd.19
Neh.10.1	2Esd.19.38
Neh.10.2	2Esd.20.1
Neh.10.3	2Esd.20.2
Neh.10.4	2Esd.20.3
Neh.10.5	2Esd.20.4
Neh.10.6	2Esd.20.5
Neh.10.7	2Esd.20.6
Neh.10.8	2Esd.20.7
Neh.10.9	2Esd.20.8
Neh.10.10	2Esd.20.9
Neh.10.11	2Esd.20.10
Neh.10.12	2Esd.20.11
Neh.10.13	2Esd.20.12
Neh.10.14	2Esd.20.13
Neh.10.15	2Esd.20.14
Neh.10.16	2Esd.20.15
Neh.10.17	2Esd.20.16
Neh.10.18	2Esd.20.17
Neh.10.19	2Esd.20.18
Neh.10.20	2Esd.20.19
Neh.10.21	2Esd.20.20
Neh.10.22	2Esd.20.21
Neh.10.23	2Esd.20.22
Neh.10.24	2Esd.20.23
Neh.10.25	2Esd.20.24
Neh.10.26	2Esd.20.25
Neh.10.27	2Esd.20.26
Neh.10.28	2Esd.20.27
Neh.10.29	2Esd.20.28
Neh.10.30	2Esd.20.29
Neh.10.31	2Esd.20.30
Neh.10.32	2Esd.20.31
Neh.10.33	2Esd.20.32
Neh.10.34	2Esd.20.33
Neh.10.35	2Esd.20.34
Neh.10.36	2Esd.20.35
Neh.10.37	2Esd.20.36
Neh.10.38	2Esd.20.37
Neh.10.39	2Esd.20.38
Neh.10.40	2Esd.20.39
Neh.11	2Esd.21
Neh.12	2Esd.22
Neh.13	2Esd.23
GrEsth	Esth
Job.41.1	Job.40.25
Job.41.2	Job.40.26
Job.41.3	Job.40.27
Job.41.4	Job.40.28
Job.41.5	Job.40.29
Job.41.6	Job.40.30
Job.41.7	Job.40.31
Job.41.8	Job.40.32
Job.41.9	Job.41.1
Job.41.10	Job.41.2
Job.41.11	Job.41.3
Job.41.12	Job.41.4
Job.41.13	Job.41.5
Job.41.14	Job.41.6
Job.41.15	Job.41.7
Job.41.16	Job.41.8
Job.41.17	Job.41.9
Job.41.18	Job.41.10
Job.41.19	Job.41.11
Job.41.20	Job.41.12
Job.41.21	Job.41.13
Job.41.22	Job.41.14
Job.41.23	Job.41.15
Job.41.24	Job.41.16
Job.41.25	Job.41.17
Job.41.26	Job.41.18
Job.41.27	Job.41.19
Job.41.28	Job.41.20
Job.41.29	Job.41.21
Job.41.30	Job.41.22
Job.41.31	Job.41.23
Job.41.32	Job.41.24
Job.41.33	Job.41.25
Job.41.34	Job.41.26
Ps.3.1	Ps.3.1-Ps.3.2
Ps.3.2	Ps.3.3
Ps.3.3	Ps.3.4
Ps.3.4	Ps.3.5
Ps.3.5	Ps.3.6
Ps.3.6	Ps.3.7
Ps.3.7	Ps.3.8
Ps.3.8	Ps.3.9
Ps.4.1	Ps.4.1-Ps.4.2
Ps.4.2	Ps.4.3
Ps.4.3	Ps.4.4
Ps.4.4	Ps.4.5
Ps.4.5	Ps.4.6
Ps.4.6	Ps.4.7
Ps.4.7	Ps.4.8
Ps.4.8	Ps.4.9
Ps.5.1	Ps.5.1-Ps.5.2
Ps.5.2	Ps.5.3
Ps.5.3	Ps.5.4
Ps.5.4	Ps.5.5
Ps.5.5	Ps.5.6
Ps.5.6	Ps.5.7
Ps.5.7	Ps.5.8
Ps.5.8	Ps.5.9
Ps.5.9	Ps.5.10
Ps.5.10	Ps.5.11
Ps.5.11	Ps.5.12
Ps.5.12	Ps.5.13
Ps.6.1	Ps.6.1-Ps.6.2
Ps.6.2	Ps.6.3
Ps.6.3	Ps.6.4
Ps.6.4	Ps.6.5
Ps.6.5	Ps.6.6
Ps.6.6	Ps.6.7
Ps.6.7	Ps.6.8
Ps.6.8	Ps.6.9
Ps.6.9	Ps.6.10
Ps.6.10	Ps.6.11
Ps.7.1	Ps.7.1-Ps.7.2
Ps.7.2	Ps.7.3
Ps.7.3	Ps.7.4
Ps.7.4	Ps.7.5
Ps.7.5	Ps.7.6
Ps.7.6	Ps.7.7
Ps.7.7	Ps.7.8
Ps.7.8	Ps.7.9
Ps.7.9	Ps.7.10
Ps.7.10	Ps.7.11
Ps.7.11	Ps.7.12
Ps.7.12	Ps.7.13
Ps.7.13	Ps.7.14
Ps.7.14	Ps.7.15
Ps.7.15	Ps.7.16
Ps.7.16	Ps.7.17
Ps.7.17	Ps.7.18
Ps.8.1	Ps.8.1-Ps.8.2
Ps.8.2	Ps.8.3
Ps.8.3	Ps.8.4
Ps.8.4	Ps.8.5
Ps.8.5	Ps.8.6
Ps.8.6	Ps.8.7
Ps.8.7	Ps.8.8
Ps.8.8	Ps.8.9
Ps.8.9	Ps.8.10
Ps.9.1	Ps.9.1-Ps.9.2
Ps.9.2	Ps.9.3
Ps.9.3	Ps.9.4
Ps.9.4	Ps.9.5
Ps.9.5	Ps.9.6
Ps.9.6	Ps.9.7
Ps.9.7	Ps.9.8
Ps.9.8	Ps.9.9
Ps.9.9	Ps.9.10
Ps.9.10	Ps.9.11
Ps.9.11	Ps.9.12
Ps.9.12	Ps.9.13
Ps.9.13	Ps.9.15
Ps.9.14	Ps.9.15
Ps.9.15	Ps.9.16
Ps.9.16	Ps.9.17
Ps.9.17	Ps.9.18
Ps.9.18	Ps.9.19
Ps.9.19	Ps.9.20
Ps.9.20	Ps.9.21
Ps.10.1	Ps.9.22
Ps.10.2	Ps.9.23
Ps.10.3	Ps.9.24
Ps.10.4	Ps.9.25
Ps.10.5	Ps.9.26
Ps.10.6	Ps.9.27
Ps.10.7	Ps.9.28
Ps.10.8	Ps.9.29
Ps.10.9	Ps.9.30
Ps.10.10	Ps.9.31
Ps.10.11	Ps.9.32
Ps.10.12	Ps.9.33
Ps.10.13	Ps.9.34
Ps.10.14	Ps.9.35
Ps.10.15	Ps.9.36
Ps.10.16	Ps.9.37
Ps.10.17	Ps.9.38
Ps.10.18	Ps.9.39
Ps.11	Ps.10
Ps.12.1	Ps.11.1-Ps.11.2
Ps.12.2	Ps.11.3
Ps.12.3	Ps.11.4
Ps.12.4	Ps.11.5
Ps.12.5	Ps.11.6
Ps.12.6	Ps.11.7
Ps.12.7	Ps.11.8
Ps.12.8	Ps.11.9
Ps.13.1	Ps.12.1-Ps.12.2
Ps.13.2	Ps.12.3
Ps.13.3	Ps.12.4
Ps.13.4	Ps.12.5
Ps.13.5	Ps.12.6
Ps.14	Ps.13
Ps.15	Ps.14
Ps.16	Ps.15
Ps.17	Ps.16
Ps.18	Ps.17
Ps.19.1	Ps.18.1-Ps.18.2
Ps.19.2	Ps.18.3
Ps.19.3	Ps.18.4
Ps.19.4	Ps.18.5
Ps.19.5	Ps.18.6
Ps.19.6	Ps.18.7
Ps.19.7	Ps.18.8
Ps.19.8	Ps.18.9
Ps.19.9	Ps.18.10
Ps.19.10	Ps.18.11
Ps.19.11	Ps.18.12
Ps.19.12	Ps.18.13
Ps.19.13	Ps.18.14
Ps.19.14	Ps.18.15
Ps.20.1	Ps.19.1-Ps.19.2
Ps.20.2	Ps.19.3
Ps.20.3	Ps.19.4
Ps.20.4	Ps.19.5
Ps.20.5	Ps.19.6
Ps.20.6	Ps.19.7
Ps.20.7	Ps.19.8
Ps.20.8	Ps.19.9
Ps.20.9	Ps.19.10
Ps.21.1	Ps.20.1-Ps.20.2
